timestamp_iso,event_type,frame_latency_ms,fps,cursor_delta_x,cursor_delta_y,ttt_ms
2026-03-24T20:26:32.407,frame,22.72,38.84,0.037188,-0.012839,
2026-03-24T20:26:32.440,frame,24.579,38.09,0.037453,-0.012346,
2026-03-24T20:26:32.471,frame,20.486,37.38,0.037744,-0.011908,
2026-03-24T20:26:32.516,frame,33.682,35.78,0.037207,-0.011345,
2026-03-24T20:26:32.566,frame,30.691,34.33,0.037091,-0.012276,
2026-03-24T20:26:32.598,frame,16.829,33.96,0.036949,-0.012171,
2026-03-24T20:26:32.605,frame,5.191,44.7,0.03683,-0.012244,
2026-03-24T20:26:32.648,frame,40.07,42.59,0.036806,-0.012263,
2026-03-24T20:26:32.677,frame,28.229,41.45,0.03654,-0.012527,
2026-03-24T20:26:32.726,frame,40.028,39.45,0.036761,-0.012094,
2026-03-24T20:26:32.760,frame,28.771,38.44,0.037116,-0.012422,
2026-03-24T20:26:32.766,frame,4.969,47.96,0.037142,-0.012253,
2026-03-24T20:26:32.792,frame,22.003,47.33,0.036798,-0.012389,
2026-03-24T20:26:32.842,frame,40.669,44.61,0.03676,-0.012616,
2026-03-24T20:26:32.888,frame,37.509,42.29,0.036371,-0.013235,
2026-03-24T20:26:32.916,frame,20.459,41.44,0.035915,-0.013205,
2026-03-24T20:26:32.950,frame,30.935,40.36,0.036082,-0.013311,
2026-03-24T20:26:32.998,frame,31.67,38.42,0.035998,-0.013371,
2026-03-24T20:26:33.020,frame,7.238,38.92,0.036285,-0.013183,
2026-03-24T20:26:33.047,frame,11.476,38.93,0.036465,-0.012992,
2026-03-24T20:26:33.078,frame,27.784,38.23,0.036707,-0.013142,
2026-03-24T20:26:33.124,frame,46.76,36.42,0.036696,-0.01368,
2026-03-24T20:26:33.158,frame,22.213,36.06,0.036857,-0.013743,
2026-03-24T20:26:33.177,frame,6.554,37.83,0.036925,-0.013686,
2026-03-24T20:26:33.206,frame,19.412,37.54,0.036906,-0.013804,
2026-03-24T20:26:33.240,frame,19.949,36.7,0.036774,-0.01378,
2026-03-24T20:26:33.288,frame,36.596,35.1,0.036823,-0.013784,
2026-03-24T20:26:33.320,frame,16.978,34.74,0.036889,-0.013949,
2026-03-24T20:26:33.346,frame,13.891,34.61,0.036514,-0.014618,
2026-03-24T20:26:33.400,frame,47.04,33.14,0.036712,-0.014409,
2026-03-24T20:26:33.424,frame,8.229,33.94,0.036567,-0.014669,
2026-03-24T20:26:33.449,frame,14.501,34.64,0.036385,-0.014791,
2026-03-24T20:26:33.480,frame,14.787,34.34,0.037079,-0.015113,
2026-03-24T20:26:33.512,frame,15.564,34.09,0.037061,-0.014481,
2026-03-24T20:26:33.563,frame,43.506,32.63,0.037363,-0.016067,
2026-03-24T20:26:33.574,frame,7.502,36.49,0.037144,-0.01617,
2026-03-24T20:26:33.608,frame,21.746,36.08,0.037351,-0.016172,
2026-03-24T20:26:33.640,frame,20.322,35.61,0.036821,-0.015978,
2026-03-24T20:26:33.688,frame,35.195,34.12,0.037346,-0.016259,
2026-03-24T20:26:33.720,frame,20.648,33.84,0.03681,-0.016482,
2026-03-24T20:26:33.768,frame,32.69,32.53,0.036618,-0.016307,
2026-03-24T20:26:33.801,frame,17.848,32.32,0.036847,-0.016851,
2026-03-24T20:26:33.820,frame,5.612,34.11,0.036895,-0.016971,
2026-03-24T20:26:33.841,frame,6.22,35.5,0.036927,-0.017109,
2026-03-24T20:26:33.880,frame,28.393,34.61,0.03697,-0.017304,
2026-03-24T20:26:33.910,frame,28.562,34.33,0.037036,-0.017403,
2026-03-24T20:26:33.959,frame,46.807,32.95,0.037248,-0.017185,
2026-03-24T20:26:33.975,frame,7.729,36.36,0.037178,-0.017172,
2026-03-24T20:26:34.007,frame,24.536,35.77,0.037562,-0.016526,
2026-03-24T20:26:34.038,frame,22.825,35.42,0.038174,-0.015676,
2026-03-24T20:26:34.073,frame,21.593,34.69,0.038081,-0.015542,
2026-03-24T20:26:34.119,frame,33.548,33.45,0.038004,-0.015326,
2026-03-24T20:26:34.167,frame,32.56,32.19,0.037614,-0.015106,
2026-03-24T20:26:34.202,frame,32.087,31.81,0.038338,-0.014522,
2026-03-24T20:26:34.224,frame,7.399,32.91,0.03823,-0.014768,
2026-03-24T20:26:34.246,frame,11.79,34.49,0.038392,-0.014276,
2026-03-24T20:26:34.277,frame,27.509,34.23,0.038098,-0.013655,
2026-03-24T20:26:34.325,frame,47.534,32.74,0.038696,-0.013875,
2026-03-24T20:26:34.360,frame,22.972,32.73,0.038386,-0.014238,
2026-03-24T20:26:34.374,frame,6.046,35.82,0.038431,-0.014246,
2026-03-24T20:26:34.407,frame,23.225,35.35,0.038519,-0.014199,
2026-03-24T20:26:34.441,frame,25.21,34.8,0.03799,-0.013979,
2026-03-24T20:26:34.488,frame,35.713,33.44,0.038181,-0.013689,
2026-03-24T20:26:34.516,frame,17.783,33.29,0.038905,-0.013893,
2026-03-24T20:26:34.553,frame,17.196,32.93,0.039466,-0.013861,
2026-03-24T20:26:34.601,frame,34.446,31.72,0.039376,-0.014064,
2026-03-24T20:26:34.618,frame,6.497,34.18,0.039416,-0.014179,
2026-03-24T20:26:34.641,frame,5.777,35.2,0.03957,-0.014161,
2026-03-24T20:26:34.679,frame,29.133,34.31,0.039319,-0.014249,
2026-03-24T20:26:34.732,frame,50.945,32.77,0.039205,-0.014528,
2026-03-24T20:26:34.757,frame,22.027,33.31,0.038792,-0.014409,
2026-03-24T20:26:34.773,frame,6.464,36.53,0.038957,-0.014518,
2026-03-24T20:26:34.809,frame,27.297,35.67,0.039115,-0.014478,
2026-03-24T20:26:34.840,frame,24.065,35.35,0.039439,-0.014287,
2026-03-24T20:26:34.888,frame,37.843,33.86,0.038756,-0.014866,
2026-03-24T20:26:34.916,frame,20.109,34.0,0.038556,-0.014437,
2026-03-24T20:26:34.949,frame,30.198,33.69,0.038453,-0.014336,
2026-03-24T20:26:34.998,frame,32.308,32.37,0.038526,-0.014247,
2026-03-24T20:26:35.017,frame,5.444,34.2,0.038585,-0.014402,
2026-03-24T20:26:35.045,frame,9.968,34.45,0.038627,-0.014669,
2026-03-24T20:26:35.079,frame,27.85,34.01,0.038861,-0.014559,
2026-03-24T20:26:35.111,frame,28.865,33.72,0.038592,-0.01408,
2026-03-24T20:26:35.160,frame,42.523,32.37,0.038842,-0.0144,
2026-03-24T20:26:35.173,frame,6.823,37.15,0.038968,-0.014338,
2026-03-24T20:26:35.208,frame,25.81,36.3,0.038465,-0.014306,
2026-03-24T20:26:35.240,frame,26.289,35.84,0.038264,-0.014562,
2026-03-24T20:26:35.288,frame,35.252,34.34,0.038255,-0.015018,
2026-03-24T20:26:35.320,frame,22.15,33.94,0.037838,-0.014785,
2026-03-24T20:26:35.351,frame,16.008,33.73,0.038053,-0.014768,
2026-03-24T20:26:35.400,frame,33.602,32.44,0.037918,-0.014473,
2026-03-24T20:26:35.420,frame,7.442,34.05,0.038131,-0.014384,
2026-03-24T20:26:35.446,frame,10.999,34.52,0.038197,-0.015092,
2026-03-24T20:26:35.479,frame,28.125,34.12,0.037518,-0.015054,
2026-03-24T20:26:35.513,frame,31.21,33.65,0.037504,-0.015421,
2026-03-24T20:26:35.561,frame,41.125,32.39,0.037669,-0.015147,
2026-03-24T20:26:35.571,frame,6.711,38.15,0.037614,-0.015106,
2026-03-24T20:26:35.605,frame,24.403,37.34,0.037235,-0.015143,
2026-03-24T20:26:35.641,frame,29.379,36.42,0.03727,-0.015587,
2026-03-24T20:26:35.676,frame,23.227,35.59,0.036656,-0.015146,
2026-03-24T20:26:35.720,frame,38.182,34.2,0.037154,-0.015221,
2026-03-24T20:26:35.751,frame,14.694,34.35,0.036986,-0.015369,
2026-03-24T20:26:35.804,frame,36.913,32.79,0.036724,-0.015086,
2026-03-24T20:26:35.824,frame,8.624,34.02,0.036897,-0.01511,
2026-03-24T20:26:35.841,frame,6.321,37.58,0.03655,-0.015161,
2026-03-24T20:26:35.879,frame,29.526,36.41,0.036591,-0.014294,
2026-03-24T20:26:35.913,frame,32.15,35.71,0.03683,-0.014999,
2026-03-24T20:26:35.960,frame,45.111,34.26,0.036374,-0.015235,
2026-03-24T20:26:35.973,frame,6.311,38.68,0.036175,-0.015158,
2026-03-24T20:26:35.990,frame,7.601,40.74,0.036604,-0.01477,
2026-03-24T20:26:36.039,frame,40.475,38.71,0.036175,-0.014872,
2026-03-24T20:26:36.073,frame,21.011,37.74,0.036126,-0.014982,
2026-03-24T20:26:36.118,frame,36.3,36.15,0.035846,-0.014786,
2026-03-24T20:26:36.152,frame,21.065,35.6,0.036249,-0.014958,
2026-03-24T20:26:36.201,frame,38.273,34.08,0.03606,-0.01552,
2026-03-24T20:26:36.224,frame,6.572,34.56,0.035977,-0.015539,
2026-03-24T20:26:36.247,frame,10.716,35.91,0.036138,-0.015109,
2026-03-24T20:26:36.278,frame,26.778,35.48,0.03575,-0.014802,
2026-03-24T20:26:36.316,frame,32.005,34.64,0.035394,-0.014763,
2026-03-24T20:26:36.362,frame,41.959,33.35,0.034437,-0.014274,
2026-03-24T20:26:36.373,frame,7.625,38.37,0.033991,-0.014251,
2026-03-24T20:26:36.409,frame,27.292,37.36,0.033288,-0.013982,
2026-03-24T20:26:36.439,frame,26.655,36.93,0.032484,-0.014941,
2026-03-24T20:26:36.490,frame,38.67,35.2,0.030769,-0.014428,
2026-03-24T20:26:36.522,frame,22.521,34.83,0.028324,-0.014536,
2026-03-24T20:26:36.552,frame,16.757,34.63,0.024811,-0.014098,
2026-03-24T20:26:36.603,frame,32.833,33.16,0.021758,-0.014751,
2026-03-24T20:26:36.626,frame,10.176,34.14,0.02168,-0.014016,
2026-03-24T20:26:36.645,frame,8.555,36.08,0.018836,-0.011846,
2026-03-24T20:26:36.681,frame,29.769,35.23,0.014241,-0.011975,
2026-03-24T20:26:36.713,frame,26.655,34.8,0.010045,-0.011945,
2026-03-24T20:26:36.760,frame,40.171,33.46,0.00628,-0.010397,
2026-03-24T20:26:36.774,frame,7.9,37.07,0.007051,-0.011471,
2026-03-24T20:26:36.809,frame,26.994,36.23,0.002894,-0.009475,
2026-03-24T20:26:36.839,frame,25.2,36.0,-0.001709,-0.009063,
2026-03-24T20:26:36.890,frame,36.398,34.33,-0.003922,-0.0088,
2026-03-24T20:26:36.924,frame,22.415,33.91,-0.007697,-0.006868,
2026-03-24T20:26:36.950,frame,12.627,34.24,-0.009464,-0.006758,
2026-03-24T20:26:37.002,frame,48.629,32.75,-0.011715,-0.00628,
2026-03-24T20:26:37.026,frame,8.201,33.75,-0.011636,-0.005803,
2026-03-24T20:26:37.050,frame,7.758,34.5,-0.013151,-0.004814,
2026-03-24T20:26:37.080,frame,21.849,34.4,-0.014502,-0.003519,
2026-03-24T20:26:37.127,frame,37.622,33.06,-0.015498,-0.004091,
2026-03-24T20:26:37.160,frame,23.584,32.82,-0.016917,-0.001593,
2026-03-24T20:26:37.175,frame,7.214,36.3,-0.016526,-0.001075,
2026-03-24T20:26:37.193,frame,10.205,38.14,-0.017821,-0.000387,
2026-03-24T20:26:37.242,frame,32.323,36.38,-0.018939,0.000958,
2026-03-24T20:26:37.273,frame,29.261,35.9,-0.020115,0.002034,
2026-03-24T20:26:37.325,frame,49.435,34.26,-0.020205,0.004681,
2026-03-24T20:26:37.352,frame,17.026,34.45,-0.021385,0.005866,
2026-03-24T20:26:37.403,frame,37.936,32.97,-0.022206,0.006798,
2026-03-24T20:26:37.426,frame,9.16,34.13,-0.022747,0.007223,
2026-03-24T20:26:37.453,frame,8.486,34.39,-0.022062,0.007757,
2026-03-24T20:26:37.481,frame,12.598,34.44,-0.023439,0.009248,
2026-03-24T20:26:37.528,frame,44.582,33.13,-0.02402,0.009583,
2026-03-24T20:26:37.559,frame,25.161,33.05,-0.024667,0.010233,
2026-03-24T20:26:37.571,frame,5.923,38.16,-0.024612,0.010279,
2026-03-24T20:26:37.610,frame,29.06,36.95,-0.024331,0.009769,
2026-03-24T20:26:37.640,frame,27.832,36.5,-0.024757,0.009799,
2026-03-24T20:26:37.674,frame,21.989,35.8,-0.024794,0.010779,
2026-03-24T20:26:37.722,frame,38.457,34.32,-0.024018,0.010142,
